,corp_name
1013,서울가스
1014,서울리거
1015,서울바이오시스
1016,서울반도체
1017,서울식품
1018,서울식품우
1019,서울옥션
1020,서울전자통신
1021,서울제약
1022,서원
1023,서원인텍
1024,서전기전
1025,서진시스템
1026,서진오토모티브
1027,서플러스글로벌
1028,서한
1029,서호전기
1030,서흥
1031,서희건설
1032,석경에이티
1033,선광
1034,선데이토즈
1035,선도전기
1036,선바이오
1037,선익시스템
1038,선진
1039,선진뷰티사이언스
1040,성광벤드
1041,성도이엔지
1042,성문전자
1043,성문전자우
1044,성보화학
1045,성신양회
1046,성신양회우
1047,성안
1048,성우전자
1049,성우테크론
1050,성우하이텍
1051,성창기업지주
1052,성창오토텍
1053,성호전자
1054,세경하이테크
1055,세기상사
1056,세동
1057,세명전기
1058,세방
1059,세방우
1060,세방전지
1061,세보엠이씨
1062,세아베스틸
1063,세아제강
1064,세아제강지주
1065,세아특수강
1066,세아홀딩스
1067,세우글로벌
1068,세운메디칼
1069,세원
1070,세원물산
1071,세원이앤씨
1072,세원정공
1073,세이브존I&C
1074,세종공업
1075,세종메디칼
1076,세종텔레콤
1077,세중
1078,세진중공업
1079,세진티에스
1080,세코닉스
1081,세틀뱅크
1082,세하
1083,세화아이엠씨
1084,세화피앤씨
1085,센코
1086,센트랄모텍
1087,센트럴바이오
1088,센트럴인사이트
1089,셀레믹스
1090,셀루메드
1091,셀리드
1092,셀리버리
1093,셀바스AI
1094,셀바스헬스케어
1095,셀젠텍
1096,셀트리온
1097,셀트리온제약
1098,셀트리온헬스케어
1099,소룩스
1100,소리바다
1101,소마젠(Reg.S)
1102,소프트센
1103,소프트센우
1104,소프트캠프
1105,손오공
1106,솔고바이오
1107,솔루스첨단소재
1108,솔루스첨단소재1우
1109,솔루스첨단소재2우B
1110,솔루에타
1111,솔루엠
1112,솔본
1113,솔브레인
1114,솔브레인홀딩스
1115,솔트룩스
1116,송원산업
1117,쇼박스
1118,수산아이앤티
1119,수산중공업
1120,수성이노베이션
1121,수젠텍
1122,수프로
1123,슈펙스비앤피
1124,슈프리마
1125,슈프리마아이디
1126,슈프리마에이치큐
1127,슈피겐코리아
1128,스맥
1129,스카이라이프
1130,스카이문스테크놀로지
1131,스카이이앤엠
1132,스킨앤스킨
1133,스타모빌리티
1134,스타플렉스
1135,스템랩
1136,스튜디오드래곤
1137,스튜디오산타클로스
1138,스페코
1139,스포츠서울
1140,승일
1141,시공테크
1142,시그네틱스
1143,시그넷이브이
1144,시너지이노베이션
1145,시노펙스
1146,시디즈
1147,시스웍
1148,시큐브
1149,시큐센
1150,시티랩스
1151,신대양제지
1152,신도기연
1153,신도리코
1154,신라교역
1155,신라섬유
1156,신라에스지
1157,신라젠
1158,신성델타테크
1159,신성이엔지
1160,신성통상
1161,신세계
1162,신세계 I&C
1163,신세계건설
1164,신세계인터내셔날
1165,신세계푸드
1166,신송홀딩스
1167,신신제약
1168,신영스팩5호
1169,신영스팩6호
1170,신영와코루
1171,신영증권
1172,신영증권우
1173,신원
1174,신원우
1175,신원종합개발
1176,신일전자
1177,신일제약
1178,신진에스엠
1179,신테카바이오
1180,신풍제약
1181,신풍제약우
1182,신풍제지
1183,신한알파리츠
1184,신한제6호스팩
1185,신한제7호스팩
1186,신한지주
1187,신화실업
1188,신화인터텍
1189,신화콘텍
1190,신흥
1191,신흥에스이씨
1192,실리콘웍스
1193,심텍
1194,심텍홀딩스
1195,싸이맥스
1196,싸이버원
1197,싸이토젠
1198,쌍방울
1199,쌍용C&E
1200,쌍용정보통신
1201,쌍용차
1202,써니전자
1203,썬테크
1204,썸에이지
1205,쎄노텍
1206,쎄니트
1207,쎄미시스코
1208,쎄트렉아이
1209,쎌마테라퓨틱스
1210,쎌바이오텍
1211,쏠리드
1212,씨씨에스
1213,씨아이에스
1214,씨아이테크
1215,씨알푸드
1216,씨앗
1217,씨앤에스링크
1218,씨앤지하이테크
1219,씨앤투스성진
1220,씨앤티85
1221,씨에스베어링
1222,씨에스윈드
1223,씨엔티드림
1224,씨엔플러스
1225,씨엠에스에듀
1226,씨유메디칼
1227,씨이랩
1228,씨젠
1229,씨케이에이치
1230,씨큐브
1231,씨티씨바이오
1232,씨티케이코스메틱스
1233,아가방컴퍼니
1234,아나패스
1235,아난티
1236,아남전자
1237,아래스
1238,아리온
1239,아모그린텍
1240,아모레G
1241,아모레G3우(전환)
1242,아모레G우
1243,아모레퍼시픽
1244,아모레퍼시픽우
1245,아모텍
1246,아미노로직스
1247,아미코젠
1248,아바코
1249,아바텍
1250,아비코전자
1251,아세아
1252,아세아시멘트
